 failed 0,passed264,Grid search fall back 0
1.0,ranking,iterations q1,1.0
1.0,ranking,iterations q2,3.0
1.0,ranking,iterations q3,4.0
1.0,ranking,iterations q4,9.0
1.0,ranking,Fairness q1,155.14735
1.0,ranking,Fairness q2,161.61757
1.0,ranking,Fairness q3,161.94588
1.0,ranking,Fairness q4,161.94588

1.0,grid search,iterations q1,2.0
1.0,grid search,iterations q2,4.0
1.0,grid search,iterations q3,8.0
1.0,grid search,iterations q4,30.0
1.0,grid search,Fairness q1,154.69858
1.0,grid search,Fairness q2,155.14735
1.0,grid search,Fairness q3,156.04293
1.0,grid search,Fairness q4,161.94588

 failed 0,passed187,Grid search fall back 0
0.95,ranking,iterations q1,1.0
0.95,ranking,iterations q2,1.0
0.95,ranking,iterations q3,3.0
0.95,ranking,iterations q4,9.0
0.95,ranking,Fairness q1,161.94588
0.95,ranking,Fairness q2,163.16076
0.95,ranking,Fairness q3,167.80549
0.95,ranking,Fairness q4,169.93396

0.95,grid search,iterations q1,1.0
0.95,grid search,iterations q2,2.0
0.95,grid search,iterations q3,3.0
0.95,grid search,iterations q4,9.0
0.95,grid search,Fairness q1,155.26413
0.95,grid search,Fairness q2,163.51481
0.95,grid search,Fairness q3,168.15928
0.95,grid search,Fairness q4,169.93396

 failed 0,passed116,Grid search fall back 0
0.89,ranking,iterations q1,1.0
0.89,ranking,iterations q2,1.0
0.89,ranking,iterations q3,1.0
0.89,ranking,iterations q4,6.0
0.89,ranking,Fairness q1,161.94588
0.89,ranking,Fairness q2,167.9561
0.89,ranking,Fairness q3,172.90679
0.89,ranking,Fairness q4,179.95075

0.89,grid search,iterations q1,1.0
0.89,grid search,iterations q2,1.0
0.89,grid search,iterations q3,2.0
0.89,grid search,iterations q4,5.0
0.89,grid search,Fairness q1,156.17792
0.89,grid search,Fairness q2,168.20395
0.89,grid search,Fairness q3,173.82932
0.89,grid search,Fairness q4,179.95075

 failed 0,passed90,Grid search fall back 0
0.86,ranking,iterations q1,1.0
0.86,ranking,iterations q2,1.0
0.86,ranking,iterations q3,1.0
0.86,ranking,iterations q4,2.0
0.86,ranking,Fairness q1,165.09719
0.86,ranking,Fairness q2,169.49603
0.86,ranking,Fairness q3,177.43437
0.86,ranking,Fairness q4,182.74483

0.86,grid search,iterations q1,1.0
0.86,grid search,iterations q2,1.0
0.86,grid search,iterations q3,2.0
0.86,grid search,iterations q4,5.0
0.86,grid search,Fairness q1,163.31547
0.86,grid search,Fairness q2,168.7322
0.86,grid search,Fairness q3,176.91333
0.86,grid search,Fairness q4,182.40248

