Utility Goal,Method,Iteration,Value
1.0,ranking,iterations q1,1.0
1.0,ranking,iterations q2,1.0
1.0,ranking,iterations q3,1.0
1.0,ranking,iterations q4,1.0
1.0,ranking,Fairness q1,159.35166
1.0,ranking,Fairness q2,159.35166
1.0,ranking,Fairness q3,159.35166
1.0,ranking,Fairness q4,159.35166
Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,1.0
0.95,ranking,iterations q2,1.0
0.95,ranking,iterations q3,1.0
0.95,ranking,iterations q4,1.0
0.95,ranking,Fairness q1,159.35166
0.95,ranking,Fairness q2,159.35166
0.95,ranking,Fairness q3,159.35166
0.95,ranking,Fairness q4,159.35166
Utility Goal,Method,Iteration,Value
0.89,ranking,iterations q1,1.0
0.89,ranking,iterations q2,1.0
0.89,ranking,iterations q3,1.0
0.89,ranking,iterations q4,1.0
0.89,ranking,Fairness q1,159.35166
0.89,ranking,Fairness q2,159.35166
0.89,ranking,Fairness q3,159.35166
0.89,ranking,Fairness q4,159.35166
Utility Goal,Method,Iteration,Value
0.86,ranking,iterations q1,1.0
0.86,ranking,iterations q2,1.0
0.86,ranking,iterations q3,1.0
0.86,ranking,iterations q4,1.0
0.86,ranking,Fairness q1,159.35166
0.86,ranking,Fairness q2,159.35166
0.86,ranking,Fairness q3,159.35166
0.86,ranking,Fairness q4,159.35166
